Description,Extension,Category,MIME type
Salt Lake Winter Olympics 2002 audio data,0.37,Computer game,Unknown
Quake 2 map,.bsp,Computer game,Unknown
Salt Lake Winter Olympics 2002 music data,0.32,Computer game,Unknown
Bundle file format,.bndl,Computer game,Unknown
Valve texture format,.vtf,Computer game,Unknown
ACM compressed sound,.acm,Computer game,Unknown
Serious Sam game data,.gro,Computer game,Unknown
Dragon Age Origins game archive,.rim,Computer game,Unknown
Settlers II map,.wld,Computer game,Unknown
Call of Juarez game data,.rpack,Computer game,Unknown
Subspace/Continuum bitmap graphics,.bm2,Computer game,Unknown
Total Overdose game data,.naz,Computer game,Unknown
Osu! skin,.osk,Computer game,Unknown
EA Sports FSH format,.fsh,Computer game,Unknown
Need for Speed SHIFT game pack,.bff,Computer game,Unknown
Warcraft III / Warcraft III: Reforged game replay,.w3g,Computer game,Unknown
Microsoft Flight Simulator visibility image,.vis,Computer game,application/vnd.visionary
WorldPainter Minecraft map,.world,Computer game,Unknown
osu! script,.osu,Computer game,Unknown
Darkest Dungeon game script,.darkest,Computer game,Unknown
Construct game project archive,.capx,Computer game,Unknown
Raptor: Call Of The Shadows support data,.glb,Computer game,Unknown
Microsoft Spider Solitaire saved game,.spidersolitairesave-ms,Computer game,Unknown
NovaLogic game archive,.pff,Computer game,Unknown
Ragnarok online emblem data,.ebm,Computer game,Unknown
Unreal Tournament plugin,.uplugin,Computer game,Unknown
LucasArts The Secret of Monkey Island: Special Edition texture,.dxt,Computer game,Unknown
Metro 2033 sound,.vfs0,Computer game,Unknown
The Sims 4 game data,.trayitem,Computer game,Unknown
Starcraft saved game,.snx,Computer game,Unknown
Osu! beatmap data,.osz,Computer game,Unknown
Point Blank game data,.i3animpack,Computer game,Unknown
Duke Nukem 3D archive,.grp,Computer game,Unknown
Warcraft 3 AI data,.wai,Computer game,Unknown
The Witcher 2: Assassins of Kings game data archive,.dzip,Computer game,Unknown
Need for Speed Undercover game data,.lzc,Computer game,Unknown
Source SDK mesh strip format,.vtx,Computer game,Unknown
LucasArts games resource,.lfl,Computer game,Unknown
Cabal Online game data,.enc,Computer game,Unknown
Saltlake city game music data,0.25,Computer game,Unknown
Avalanche Studios game archive,.arc,Computer game,Unknown
Rayman 2 play file,.dsb,Computer game,Unknown
RPG Maker project,.rpgproject,Computer game,Unknown
Emperor: Battle for Dune game data,.bag,Computer game,Unknown
Touhou Project replay file,.rpy,Computer game,Unknown
Ocarina Cheat Code Manager exported cheat,.gct,Computer game,Unknown
Unreal Tournament MOD installation package,.umod,Computer game,Unknown
Unreal Tournament 2004 MOD installation package file,.ut4mod,Computer game,Unknown
Prototype game data,.rcf,Computer game,Unknown
Bink 2 video data,.bk2,Computer game,Unknown
Haemimont Games game package file,.hpk,Computer game,Unknown
Dragon Age: Origins saved game,.das,Computer game,Unknown
Enhanced Dark Engine game archive,.crf,Computer game,Unknown
Unreal texture,.utx,Computer game,Unknown
SimCity game data,.sc1,Computer game,Unknown
SimplePlanes plane data,.splane,Computer game,Unknown
Descent 3 sound data,.osf,Computer game,application/vnd.yamaha.openscoreformat
Salt Lake Winter Olympics 2002 music data,0.9,Computer game,Unknown
Urban Chaos game data,.sex,Computer game,Unknown
Konami Yu-Gi-Oh! card deck data,.ydc,Computer game,Unknown
S.T.A.L.K.E.R. game data,.db1,Computer game,Unknown
Salt Lake Winter Olympics 2002 music data,0.14,Computer game,Unknown
Stronghold Kingdoms game data,.ddsx,Computer game,Unknown
ROBLOX game data,.rblx,Computer game,Unknown
HaxBall replay,.hbr,Computer game,Unknown
Sony PlayStation 2 audio data,.zar,Computer game,Unknown
Crysis shader cache,.fxcb,Computer game,Unknown
Unreal engine 3 texture cache,.tfc,Computer game,Unknown
Rust game data,.bundle,Computer game,Unknown
Jigs@w saved puzzle state,.qsv,Computer game,Unknown
World of Tanks modification,.wotmod,Computer game,Unknown
ANNO 1800 saved game,.a7s,Computer game,Unknown
RPG Maker VX project,.rvproj2,Computer game,Unknown
Unreal Engine character model mesh,.psk,Computer game,Unknown
Turok 2 game data,.jdf,Computer game,Unknown
The Incredible Adventures of Van Helsing game data,.n2pk,Computer game,Unknown
Sinking Island game data,.opk,Computer game,Unknown
F.E.A.R. game archive,.arch00,Computer game,Unknown
Point Blank game audio data,.i3chr,Computer game,Unknown
Heroes of the Storm game replay,.stormreplay,Computer game,Unknown
Telltale Games game data,.ttarch,Computer game,Unknown
Trainz Railroad Simulator indexed mesh,.im,Computer game,Unknown
Dogz dog description data,.dog,Computer game,Unknown
SexVilla game movie,.gcv,Computer game,Unknown
Silkroad online game data,.pk2,Computer game,Unknown
BioWare Aurora game engine area file,.git,Computer game,Unknown
BioWare Aurora game engine creature data,.utc,Computer game,Unknown
Call of Duty skin,.iwi,Computer game,Unknown
Escape game level file,.esx,Computer game,Unknown
ANNO game data package,.rda,Computer game,Unknown
Titan Quest game database,.arz,Computer game,Unknown
Farming Simulator saved game,.grle,Computer game,Unknown
Salt Lake Winter Olympics 2002 music,0.36,Computer game,Unknown
Call ot Duty: Black Ops audio library,.sabl,Computer game,Unknown
Bethesda Softworks settings,.esm,Computer game,Unknown
Taxman's Retro-Engine SDK data,.rsdk,Computer game,Unknown
PlayStation Home data,.sharc,Computer game,Unknown
Microsoft Flight Simulator maintenance data,.mta,Computer game,Unknown
Jazz Jackrabbit 2 title sets image,.anm,Computer game,Unknown
Civilization 5 mod information,.modinfo,Computer game,Unknown
Pokémon randomization quick settings,.rnqs,Computer game,Unknown
War Thunder skin settings,.blk,Computer game,Unknown
Operation Flashpoint game model,.p3d,Computer game,Unknown
RollerCoaster Tycoon fireworks source data,.frw,Computer game,Unknown
Bioware Aurora / Obsidian Electron compiled script,.ncs,Computer game,Unknown
Might and Magic 6/7 dungeon level geometry data,.blv,Computer game,Unknown
RF Online game data,.edf,Computer game,Unknown
Monster Hunter Freedom Unite EU region saved game,.eur,Computer game,Unknown
Grand Theft Auto animation,.ifp,Computer game,Unknown
Transport Tycoon game music,.gm,Computer game,Unknown
BioWare Aurora game engine journal data,.jrl,Computer game,Unknown
DAYZ game profile,.Dayzprofile,Computer game,Unknown
MapView user module,.udm,Computer game,Unknown
Minecraft Anvil file,.mca,Computer game,Unknown
Sega CD game disk image,.iso,Computer game,application/x-iso9660-image
Close Combat 2 map related game data,.los,Computer game,Unknown
Grand Theft Auto V audio data,.oac,Computer game,Unknown
World of Warcraft server configuration,.wtf,Computer game,Unknown
Neighbours From Hell game archive,.bnd,Computer game,Unknown
Counter-Strike source CBot navigation mesh,.nav,Computer game,Unknown
BioWare Aurora game engine palette data,.itp,Computer game,application/vnd.shana.informed.formtemplate
BlueByte archive,.bba,Computer game,Unknown
Emperor: Battle for Dune game data,.xbf,Computer game,Unknown
Resident Evil 1 game data,.dor,Computer game,Unknown
Rail Baron Player saved game,.rbz,Computer game,Unknown
S.T.A.L.K.E.R. game data,.spawn,Computer game,Unknown
Stronghold animated data,.tgx,Computer game,Unknown
Valve Material Type data,.vmt,Computer game,Unknown
Mario Kart Wii game archive,.szs,Computer game,Unknown
Cryptic Studios data,.hogg,Computer game,Unknown
TSR Launcher data,.tsr,Computer game,Unknown
id Tech 6 map data,.pages,Computer game,Unknown
Cryptic game data archive,.nova,Computer game,Unknown
Game replay file,.rep,Computer game,application/vnd.businessobjects
id Tech 4 engine resource file,.pk4,Computer game,Unknown
Command & Conquer: Red Alert 3 replay,.ra3replay,Computer game,Unknown
Diablo item data,.itm,Computer game,Unknown
Stronghold 3 editor data,.atlas,Computer game,Unknown
Visual Pinball table data,.vpt,Computer game,Unknown
ZSNES save file,.zst,Computer game,Unknown
TADS 3 game data,.t3,Computer game,Unknown
Are You Afraid of the Dark? video data,.umv,Computer game,Unknown
Crazy Machines level data,.cme,Computer game,Unknown
Star Wars: Empire at War game file,.alo,Computer game,Unknown
Diablo 2 mod D2NT script,.ntl,Computer game,Unknown
Age of Empires II saved game,.gax,Computer game,Unknown
Visual Boy Advance saved state,.sgm,Computer game,text/sgml
Red Alert 2: Yuri's Revenge multiplayer map,.yrm,Computer game,Unknown
Starbound compressed mod,.modpak,Computer game,Unknown
DreamWorks resource game archive,.blb,Computer game,Unknown
The Elder Scrolls: Oblivion saved game,.ess,Computer game,Unknown
Jedi Knight saved game,.jks,Computer game,Unknown
Grand Theft Auto Vice City mod,.cleo,Computer game,Unknown
The Witcher 2: Assassins of Kings entity data,.w2ent,Computer game,Unknown
SA-MP for GTA: San Andreas compiled game mod,.amx,Computer game,Unknown
Puzzle Solver puzzle,.jpz,Computer game,Unknown
Mass Effect game package,.pcc,Computer game,Unknown
VisualBoyAdvance cheat list,.clt,Computer game,Unknown
Space Engineers model,.mwm,Computer game,Unknown
Grand Theft Auto Vice City mod manager data,.vcm,Computer game,Unknown
Crysis level information,.cry,Computer game,Unknown
EA SPORTS game data,.tre,Computer game,Unknown
Jewel Quest III saved game file,.jq3savegame,Computer game,Unknown
LithTech game level,.ed,Computer game,Unknown
Game data,.gam,Computer game,Unknown
Electronic Arts game data archive,.package,Computer game,Unknown
Road Rash saved game position,.rrs,Computer game,Unknown
Middle Earth: Shadow of Mordor game data,.arch05,Computer game,Unknown
BioWare Infinity game engine script,.baf,Computer game,Unknown
Game data,.lug,Computer game,Unknown
ZDoom 7-zip game archive,.pk7,Computer game,Unknown
Monkey Island 3 game archive,.bun,Computer game,Unknown
Unity scene,.unity,Computer game,Unknown
Grand Theft Auto IV mod library,.asi,Computer game,Unknown
F1 2015 game data,.assetgroup,Computer game,Unknown
ChessMaster saved game,.cmg,Computer game,Unknown
Unreal Engine 3 game data,.xxx,Computer game,Unknown
Little Busters! game data,.ovk,Computer game,Unknown
Salt Lake Winter Olympics 2002 music data,0.49,Computer game,Unknown
Train Simulator traffic pattern,.trf,Computer game,Unknown
BioWare Aurora game engine store data,.utm,Computer game,Unknown
Odin Sphere data,.cvm,Computer game,Unknown
Football Manager player data,.lnc,Computer game,Unknown
League of Legends Wooxy skin,.wxy,Computer game,Unknown
Diablo 2 static image,.dc6,Computer game,Unknown
Dungeon Keeper 2 game data,.icd,Computer game,Unknown
Yu-Gi-Oh! Power of Chaos replay,.ydr,Computer game,Unknown
BVE Trainsim railway definition,.rw,Computer game,Unknown
Eraser Bot for Quake 2 route data,.rtz,Computer game,Unknown
Salt Lake Winter Olympics 2002 music game file,0.45,Computer game,Unknown
Tribes 2 game file,.ted,Computer game,Unknown
Space Marine game resource package,.oppc,Computer game,Unknown
Microsoft Flight Simulator flight plan,.pln,Computer game,Unknown
CyberStep2 game data,.cs2,Computer game,Unknown
The Marketing Game! game data,.tmg,Computer game,Unknown
Divinity: Original Sin saved game,.lsv,Computer game,Unknown
Alter Ego game data,.erp,Computer game,Unknown
Tribes 2 game data,.vl2,Computer game,Unknown
Blizzard encrypted game data,.mpqe,Computer game,Unknown
Lineage II replay,.l2r,Computer game,Unknown
id Tech 6 model,.bmodel,Computer game,Unknown
SimAnt for Windows saved game,.ant,Computer game,Unknown
S.T.A.L.K.E.R. post-process effector,.ppe,Computer game,Unknown
HMI MIDI music,.hmi,Computer game,Unknown
Blizzard game texture,.blp,Computer game,Unknown
SuperPower save game file,.sav2,Computer game,Unknown
The Sims 4 game data,.hhi,Computer game,Unknown
ChessBase game information data,.cbf,Computer game,Unknown
Game player info,.plr,Computer game,Unknown
Panzer Corps saved game,.pzsav,Computer game,Unknown
Containment Breach map,.cbmap,Computer game,Unknown
Diablo singleplayer character data,.cha,Computer game,Unknown
LucasArts game sound data,.imc,Computer game,Unknown
ANNO game series saved game file,.sww,Computer game,Unknown
Law and Order 3: Justice is Served game file,.lzp,Computer game,Unknown
Warhammer: End Times - Vermintide bundle data,.stream,Computer game,Unknown
Revenant game archive file,.rvs,Computer game,Unknown
FIFA 2000 game data,.wb,Computer game,Unknown
Tibia RePlay Tibia movie,.tir,Computer game,Unknown
Rigs of Rods texture reference,.material,Computer game,Unknown
VirtualBus bus route settings file,.bus,Computer game,Unknown
ePublisher stationery design project,.wep,Computer game,Unknown
Northlight Engine game data,.rmdp,Computer game,Unknown
Ubisoft logo animation,.ubi,Computer game,Unknown
GameCube disk image,.gcm,Computer game,Unknown
Pocket Tanks emitter file,.emi,Computer game,Unknown
Portable Bridge notation,.pbn,Computer game,Unknown
Game level data,.lvl,Computer game,Unknown
Aika Online texture data,.jit,Computer game,Unknown
Eschalon: Book I game data,.opq,Computer game,Unknown
Music source,.drl,Computer game,Unknown
Interstate '76 and '82 game archive,.zfs,Computer game,Unknown
Star Wars The Clone Wars Republic Heroes game archive file,.rkv,Computer game,Unknown
Build 3D game engine recorded games,.dmo,Computer game,Unknown
ZQuake game data,.zdk,Computer game,Unknown
Gothic 2 game data,.mrm,Computer game,Unknown
Mission data,.mis,Computer game,Unknown
Funkiball Adventure game file,.card,Computer game,Unknown
Graphics data,.pcpack,Computer game,Unknown
nFusion game data,.za,Computer game,Unknown
Total Annihilation features data,.tdf,Computer game,Unknown
Diablo 2 animation data,.dcc,Computer game,Unknown
ADRIFT text adventure data,.taf,Computer game,Unknown
Jill of the Jungle game data,.ddt,Computer game,Unknown
Diablo: Hellfire singleplayer character data,.hsv,Computer game,Unknown
Burnout: Paradise saved profile,.BurnoutParadiseSave,Computer game,Unknown
Pacman data,.pac,Computer game,Unknown
Close Combat effect data,.azp,Computer game,Unknown
Monolith Lithtech game engine data,.lta,Computer game,Unknown
Grand Theft Auto: Vice City radio station,.adf,Computer game,Unknown
The Sims 3 mesh,.wso,Computer game,Unknown
Garry's Mod add-on,.gma,Computer game,Unknown
Infocom game module for Z-machine version 5,.z5,Computer game,Unknown
XS game data,.pk1,Computer game,Unknown
Quake 3 Arena demo,.dm3,Computer game,Unknown
Star Wars: The Old Republic asset data,.tor,Computer game,Unknown
Postal 2 game map,.fuk,Computer game,Unknown
Stonehearth mod data,.smod,Computer game,Unknown
Unreal Tournament localization data,.archive,Computer game,Unknown
Command & Conquer game file,.mix,Computer game,Unknown
Raven Software ICARUS compiled script,.ibi,Computer game,Unknown
Quake 3 game engine arena settings,.arena,Computer game,Unknown
High score record,.hi,Computer game,Unknown
GameMaker stored game,.gmd,Computer game,Unknown
Civilization III scenario data,.bix,Computer game,Unknown
iDance character model,.dcz,Computer game,Unknown
Baldur's Gate II game data,.slh,Computer game,Unknown
DOOM saved game,.dsg,Computer game,Unknown
StarCraft 2 bank,.sc2bank,Computer game,Unknown
ArmA script,.sqf,Computer game,Unknown
Homeworld level of detail data,.lod,Computer game,Unknown
Emergency 4 mod,.e4mod,Computer game,Unknown
Halo Custom Edition data,.ksml,Computer game,Unknown
Richard’s Bridge Notation file,.rbn,Computer game,Unknown
OpenIV texture data,.otd,Computer game,Unknown
Clonk object,.c4i,Computer game,Unknown
LÖVE game package file,.love,Computer game,Unknown
Neighbours from Hell 2 saved game,.ngh,Computer game,Unknown
Shot Online resource,.sor,Computer game,Unknown
Avalanche Studios game graphics,.shader_bundle,Computer game,Unknown
Thief: Deadly Shadows texture and model,.ibt,Computer game,Unknown
Metal Gear Solid V: The Phantom Pain mod archive,.mgsv,Computer game,Unknown
Europa Universalis IV saved game,.eu4,Computer game,Unknown
Homeworld musc resource game,.wxd,Computer game,Unknown
Rage id Tech 5 game engine language,.streamed,Computer game,Unknown
Fly! vehicle description data,.veh,Computer game,Unknown
Metin2 data,.addr,Computer game,Unknown
Need for Speed: Most Wanted car attributes,.mwps,Computer game,Unknown
Final Fantasy XI game data,.ibf,Computer game,Unknown
Hidden and Dangerous game file,.i3d,Computer game,Unknown
BioWare game resource,.bif,Computer game,Unknown
Links Email Tourney data,.lts,Computer game,Unknown
BioWare talk table data,.tlk,Computer game,Unknown
Resident Evil 4 game data,.ahc,Computer game,Unknown
Homeworld object data,.hod,Computer game,Unknown
Battlefield 1942 game archive,.rfa,Computer game,Unknown
Interplay game video data,.mve,Computer game,Unknown
Lucas Arts animation,.nut,Computer game,Unknown
Burnout Paradise game file,.sns,Computer game,Unknown
Dead or Alive 5 texture map,.tmcl,Computer game,Unknown
Call of Duty demo,.dm_1,Computer game,Unknown
Max Payne 2 saved game,.mp2s,Computer game,Unknown
Star Trek Armada game data,.mdf,Computer game,Unknown
Dragon Age Origins MAO XML data,.mao,Computer game,Unknown
The Elder Scrolls V: Skyrim Papyrus script,.psc,Computer game,Unknown
Flight Simulator 95/98 3D model,.mdl,Computer game,Unknown
S2Games Savage game data,.s2z,Computer game,Unknown
Civilization III game scenario file,.bic,Computer game,Unknown
The 11th Hour game file,.gjd,Computer game,Unknown
Robot Arena Design and Destroy graphic data,.gmf,Computer game,Unknown
X3 Reunion ship data,.bod,Computer game,Unknown
Need for Speed track data,.frd,Computer game,Unknown
Freelancer model textures file,.mat,Computer game,Unknown
Total Annihilation object,.3do,Computer game,Unknown
Settlers II map file,.swd,Computer game,Unknown
Vampire: The Masquerade game data,.ttz,Computer game,Unknown
Warcraft 3 custom units data,.w3u,Computer game,Unknown
Pangea Enigmo custom game data,.egm,Computer game,Unknown
SmackDown! game data,.yaf,Computer game,Unknown
Freelancer three dimensional collision zone data,.sur,Computer game,Unknown
LucasArts game resource,.lec,Computer game,Unknown
Gothic game data,.vdf,Computer game,Unknown
Radical Entertainment video,.rmv,Computer game,Unknown
Battle.net patching data,.tfil,Computer game,Unknown
netKar Pro Mid Ohio data,.kto,Computer game,Unknown
American McGee Alice saved game,.spv,Computer game,Unknown
Dragon Age: Origins saved game,.dazip,Computer game,Unknown
Sony Playstation 2 video,.pss,Computer game,Unknown
Pogoshell NES emulator plugin,.mbz,Software emulation,Unknown
Read Only Memory image,.rom,Software emulation,Unknown
Game data,.dat,Software emulation,Unknown
Nintendo 64 game ROM,.z64,Software emulation,Unknown
Nintendo Game Boy Advance ROM image,.gba,Software emulation,Unknown
ZX Spectrum tape image,.tap,Software emulation,Unknown
Nintendo 64 Emulation ROM image,.n64,Software emulation,Unknown
Nintendo Entertainment System ROM image,.nes,Software emulation,Unknown
Commodore 64 emulator disk image,.x64,Software emulation,Unknown
Sega Genesis ROM emulator data,.smd,Software emulation,Unknown
Nintendo DS game ROM image,.nds,Software emulation,Unknown
Amiga compressed archive,.dms,Software emulation,application/octet-stream
Super Nintendo game-console ROM image,.smc,Software emulation,Unknown
C64 emulator disk image,.g64,Software emulation,Unknown
Super Nintendo game-console ROM image,.fig,Software emulation,application/x-xfig
Glove programmable input emulator data,.pie,Software emulation,Unknown
Motorola EEPROM programming data,.s19,Software emulation,Unknown
Atari disk image,.st,Software emulation,Unknown
Amiga hard disk image,.hdf,Software emulation,application/x-hdf
Nintendo SNES9x ROM image,.sfc,Software emulation,Unknown
Dolphin emulator archive,.gcz,Software emulation,Unknown
Nintendo Gameboy ROM image,.gb,Software emulation,Unknown
Commodore KIM-1 image,.kim,Software emulation,Unknown
Amiga compressed archive,.pp,Software emulation,text/x-pascal
Nintendo DS binary data,.bin,Software emulation,application/octet-stream
Atari 8-bit disk image,.atr,Software emulation,Unknown
ZX Spectrum tape image poke,.tzx,Software emulation,Unknown
DeSmuME saved state,.dst,Software emulation,Unknown
Dega saved state,.dgz,Software emulation,Unknown
Atari Falcon application,.ttp,Software emulation,Unknown
Super Nintendo ROM saved game,.srm,Software emulation,Unknown
Gameboy emulator data,.ggs,Software emulation,Unknown
Nintendo Game Boy Color emulator ROM image,.gbc,Software emulation,Unknown
ePSXe memory card data,.mcr,Software emulation,Unknown
ZX Spectrum floppy disk image,.trd,Software emulation,Unknown
WinDS PRO data,.sgs,Software emulation,Unknown
Kega Fusion game cheat,.pat,Software emulation,Unknown
ePSXe Sony Playstation game image,.iso,Software emulation,application/x-iso9660-image
ZX Spectrum emulator data,.zxt,Software emulation,Unknown
ZX Spectrum microdrive emulator data,.mdr,Software emulation,Unknown
Mupen64 movie capture,.m64,Software emulation,Unknown
CrossOver bottle file,.cxarchive,Software emulation,Unknown
LH ARC compressed archive,.lha,Software emulation,application/octet-stream
Atari 2600 ROM image,.a26,Software emulation,Unknown
ZX Spectrum emulator disk image,.scl,Software emulation,Unknown
pSX emulator compressed CD image,.cdz,Software emulation,Unknown
MAME compressed ROM image,.chd,Software emulation,Unknown
Sega Mega Drive ROM image,.68k,Software emulation,Unknown
Project64 game progress,.pj,Software emulation,Unknown
ZSNES slot 2 saved state,.zs2,Software emulation,Unknown
PCSX2 memory card data,.ps2,Software emulation,Unknown
ZX Spectrum Emulator memory snapshot,.z80,Software emulation,Unknown
Universal NES Image Format,.unf,Software emulation,Unknown
Kega Fusion RAM backup,.brm,Software emulation,Unknown
Sony Ericsson Xperia Play game pack file,.zpak,Software emulation,Unknown
QLAY image,.mdv,Software emulation,Unknown
GameBoid first saving slot,.ss0,Software emulation,Unknown
Amiga disk format,.adf,Software emulation,Unknown
Atari 8-bit cassette image,.fsk,Software emulation,Unknown
RetroPlatform data,.rp9,Software emulation,Unknown
ZX80 Spectrum Mirage emulator snapshot,.sna,Software emulation,Unknown
Commodore emulator data,.d64,Software emulation,Unknown
Floppy disk image,.fdi,Software emulation,Unknown
Nintendo 64 emulation ROM image,.v64,Software emulation,Unknown
Nostalgia Emulator Intellivision ROM image,.itv,Software emulation,Unknown
ZX Spectrum emulator poke,.pok,Software emulation,Unknown
Project64 joystick settings,.jsf,Software emulation,Unknown
C64 emulator data,.p00,Software emulation,Unknown
ZX Spectrum emulator program,.ltp,Software emulation,Unknown
Amiga LZX archive file,.lzx,Software emulation,Unknown
KGB ZX Spectrum emulator snapshot,.zx,Software emulation,Unknown
ZSNES cheat code,.cht,Software emulation,Unknown
Sega Genesis ROM image,.gen,Software emulation,Unknown
ZX Spectrum standard screen,.scr,Software emulation,Unknown
Sega SF-7000 ROM image,.sf7,Software emulation,Unknown
64LAN image,.l64,Software emulation,Unknown
ZX Spectrum emulator Mirage Microdrive snapshot,.snap,Software emulation,Unknown
Project64 memory pack,.mpk,Software emulation,Unknown
Commodore 64 emulator tape,.t64,Software emulation,Unknown
ZX Spectrum emulator disk image,.mgt,Software emulation,Unknown
DeSmuME saved game,.dsv,Software emulation,Unknown
Sega Genesis (Megadrive) emulator quick slot 0 saved game,.gs0,Software emulation,Unknown
Snes9x movie capture,.smv,Software emulation,Unknown
Dreamcast VMU save file,.vms,Software emulation,Unknown
Commodore 64 ROM image,.c64,Software emulation,Unknown
N64 Nintendo 64 ROM database,.rdb,Software emulation,Unknown
Commodore VC-1581 diskette emulator image,.d81,Software emulation,Unknown
Neo Geo Pocket ROM image,.ngp,Software emulation,Unknown
ZX Spectrum emulator data,0.81,Software emulation,Unknown
Commodore C64 universal data,.u00,Software emulation,Unknown
ZX Spectrum emulator data,.dsk,Software emulation,Unknown
MAME NVRAM data,.nv,Software emulation,Unknown
Warajevo ZX Spectrum emulation data,.dck,Software emulation,Unknown
Super Ninento game image,.snes,Software emulation,Unknown
Atari program executable,.xex,Software emulation,Unknown
ZX Spectrum HOBETA format,.$1,Software emulation,Unknown
Personal Paint Hungarian language user interface,.hun,Software emulation,Unknown
X68000 image,.xdf,Software emulation,Unknown
Basilisk II data,.bii,Software emulation,Unknown
Super Nintendo split ROM image,0.1,Software emulation,Unknown
Gens Sega emulator saved state,.gsx,Software emulation,Unknown
SimIIe emulator data,.iie,Software emulation,Unknown
Commodore C64 REU image,.reu,Software emulation,Unknown
Virtual Jaguar ROM image,.j64,Software emulation,Unknown
MAME replay,.inp,Software emulation,Unknown
Microsoft Device Emulator saved state,.dess,Software emulation,Unknown
Project64 saved game,.pj1,Software emulation,Unknown
ZX Spectrum emulator ZX32 snapshot file,.zxs,Software emulation,Unknown
Commodore emulator data,.d71,Software emulation,Unknown
Amiga emulator compressed ADF data,.adz,Software emulation,Unknown
VirtualNES or VisualBoyAdvance file,.vmv,Software emulation,Unknown
Atari cassette image,.cas,Software emulation,Unknown
Commodore emulator data,.crt,Software emulation,application/x-x509-ca-cert
Commodore CBM-8050 diskette emulator image,.d80,Software emulation,Unknown
Bleem! memory card save,.mcd,Software emulation,application/vnd.mcd
Nintendo Famicom (NES) disk system audio data,.fds,Software emulation,Unknown
Toshiba Pasopia 7 disk data,.d88,Software emulation,Unknown
GeePee32 data,.fxe,Software emulation,Unknown
ZSNES movie #2,.zm2,Software emulation,Unknown
Visual Boy Advance movie capture format,.vbm,Software emulation,Unknown
Jnes record,.jmv,Software emulation,Unknown
NES ROM emulator image,.nez,Software emulation,Unknown
Sega GENESIS ROM image,.32x,Software emulation,Unknown
Snes9x saved state file,.frz,Software emulation,Unknown
NSRT compressed game data,.jma,Software emulation,Unknown
Nintendo DS game ROM image,.nd5,Software emulation,Unknown
SHARP MZ-series emulator data,.qd,Software emulation,Unknown
Commodore C64 Emulator data or font,.64c,Software emulation,Unknown
MAME saved state,.sta,Software emulation,Unknown
Sega GameGear game ROM image,.gg,Software emulation,Unknown
DeSmuME ROM image,.gba.ds,Software emulation,Unknown
Neo Geo BIOS image,.ic8,Software emulation,Unknown
AMIGA emulator disk image ROM file,.dhf,Software emulation,Unknown
VisualBoyAdvance UPS patch,.ups,Software emulation,Unknown
Commodore emulator data,.d82,Software emulation,Unknown
WinDS PRO data,.ds3,Software emulation,Unknown
GBA4iOS controller skin,.gbaskin,Software emulation,Unknown
ZX Spectrum emulator Mirage Microdrive snapshot,.snapshot,Software emulation,Unknown
Genecyst saved state slot 4,.gs4,Software emulation,Unknown
WinDS PRO data,.ds9,Software emulation,Unknown
WinDS PRO file,.gmb,Software emulation,Unknown
Dragon 32 emulator file,.dgn,Software emulation,Unknown
VICE disk image,.d67,Software emulation,Unknown
CCS64 data,.d41,Software emulation,Unknown
EightyOne ROM image,.t81,Software emulation,Unknown
WinUAE saved state,.uss,Software emulation,Unknown
gpSP Game Boy Advance emulator saved state,.svs,Software emulation,Unknown
ZX Spectrum emulator ZX-state snapshot,.szx,Software emulation,Unknown
WinDS PRO data,.ds10,Software emulation,Unknown
Game Boy Advance ROM image,.agb,Software emulation,Unknown
CPC Plus cartridge image,.cpr,Software emulation,Unknown
DeSmuME saved state,.ds1,Software emulation,Unknown
ZSNES slot 4 save state,.zs4,Software emulation,Unknown
ZSNES movie,.zm?,Software emulation,Unknown
ZX Spectrum emulator source profile,.sp,Software emulation,Unknown
Amiga MUI external class library,.mcc,Software emulation,Unknown
Super Nintendo Super Wildcard ROM image,.swc,Software emulation,Unknown
ZX81 picture image,.p,Software emulation,text/x-pascal
LHA Compressed file archive,.lhz,Software emulation,Unknown
Genesis or Sega32X ROM image,.s28,Software emulation,Unknown
Unified Emulator Format,.uef,Software emulation,Unknown
RetroPlatform Player (Amiga Forever) file,.rp2,Software emulation,Unknown
Primo Computer Emulator tape image,.ptp,Software emulation,Unknown
Nintendo Game Boy emulator saved state,.sa1,Software emulation,Unknown
Boxer for Mac game archive file,.boxer,Software emulation,Unknown
Universal NES Image Format ROM image,.unif,Software emulation,Unknown
Sega SC-3000 image,.sc,Software emulation,application/vnd.ibm.secure-container
ZX Spectrum emulator disk image,.img,Software emulation,Unknown
WinUAEX WHDLoad settings,.whd,Software emulation,Unknown
Sega Dreamcast audio data,.adx,Software emulation,Unknown
Nintendo GameCube saved game,.gci,Software emulation,Unknown
Amiga hard disk image,.hdz,Software emulation,Unknown
Nintendo DS compressed archive,.carc,Software emulation,Unknown
Pasofami data,0.5,Software emulation,Unknown
Boxer for Mac harddisk image,.harddisk,Software emulation,Unknown
Hyper-V imported virtual machine,.vmcz,Software emulation,Unknown
TR-DOS basic file format,.$b,Software emulation,Unknown
Interchangeable preservation data,.ipf,Software emulation,Unknown
Gameboy color data,.cgb,Software emulation,Unknown
Sony PlayStation saved game,.psx,Software emulation,Unknown
APE Atari disk image,.pro,Software emulation,Unknown
GBA4iOS controller skin,.gbcskin,Software emulation,Unknown
Commodore C64 machine code,.poo,Software emulation,Unknown
